                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.1462,                0.51839,                0.91177,                0.98692,                0.97084,                0.98701,                0.63653,                  1.183,                0.53624,                0.91457,             0.00097386,             0.00097386,             0.00097386
                    108,                 1.1903,                0.52833,                0.92159,                0.97834,                0.98282,                 0.9922,                0.65112,                 1.1678,                0.48205,                0.91503,             0.00096726,             0.00096726,             0.00096726
                    109,                 1.1634,                0.53123,                0.92613,                0.98199,                0.98389,                0.99128,                  0.652,                 1.1718,                0.47771,                0.91798,             0.00096066,             0.00096066,             0.00096066
                    110,                   1.12,                0.49875,                0.90835,                0.98582,                0.98734,                0.98982,                0.65232,                 1.1706,                0.48644,                0.91385,             0.00095406,             0.00095406,             0.00095406
                    111,                 1.1574,                0.54214,                0.91181,                0.97001,                0.97555,                0.97232,                0.63691,                 1.2071,                0.52681,                0.92088,             0.00094746,             0.00094746,             0.00094746
                    112,                 1.1899,                0.52563,                0.92266,                0.98202,                0.98073,                0.98748,                0.64877,                 1.1969,                0.48851,                0.91207,             0.00094085,             0.00094085,             0.00094085
                    113,                 1.1611,                0.51207,                0.91095,                 0.9796,                0.98333,                0.98825,                0.64847,                 1.1663,                 0.4905,                0.91144,             0.00093425,             0.00093425,             0.00093425
                    114,                 1.1537,                 0.5045,                0.90906,                0.97316,                0.98712,                0.98711,                0.64322,                 1.2099,                0.48425,                0.91933,             0.00092765,             0.00092765,             0.00092765
                    115,                 1.1604,                0.52375,                0.91367,                0.96875,                0.98347,                0.97764,                0.63643,                 1.1903,                0.49503,                 0.9161,             0.00092105,             0.00092105,             0.00092105
                    116,                 1.1427,                0.51423,                0.91649,                0.97395,                0.98693,                0.98775,                0.64275,                  1.173,                0.48859,                0.91203,             0.00091445,             0.00091445,             0.00091445
                    117,                 1.1105,                0.50613,                0.89909,                0.98293,                 0.9779,                0.98664,                0.64246,                 1.1648,                0.47945,                0.91381,             0.00090785,             0.00090785,             0.00090785
                    118,                 1.1889,                0.51754,                0.91901,                0.98474,                0.98534,                0.99077,                0.62807,                  1.215,                0.48464,                0.91731,             0.00090125,             0.00090125,             0.00090125
                    119,                 1.1108,                0.51234,                0.90434,                 0.9811,                 0.9802,                0.98686,                0.64479,                 1.2149,                0.47569,                0.91795,             0.00089465,             0.00089465,             0.00089465
                    120,                 1.1119,                0.51386,                0.90689,                0.96462,                0.98324,                0.98295,                0.63347,                 1.1898,                0.49451,                0.91816,             0.00088804,             0.00088804,             0.00088804
                    121,                 1.1579,                0.50427,                 0.9243,                0.98535,                0.98477,                0.99306,                0.64949,                 1.1554,                0.46096,                0.90696,             0.00088144,             0.00088144,             0.00088144
                    122,                 1.1055,                0.49437,                0.89861,                 0.9804,                0.98285,                0.98881,                0.64966,                 1.1499,                0.46214,                0.90909,             0.00087484,             0.00087484,             0.00087484
                    123,                 1.1314,                0.51036,                0.90409,                 0.9813,                0.98067,                0.99168,                 0.6543,                 1.1595,                0.46788,                0.91276,             0.00086824,             0.00086824,             0.00086824
                    124,                 1.1737,                0.51742,                0.91451,                0.98275,                0.98008,                0.98933,                0.65288,                 1.1764,                0.48674,                0.91215,             0.00086164,             0.00086164,             0.00086164
                    125,                 1.1636,                0.53774,                0.90657,                 0.9809,                0.98008,                0.98915,                0.64532,                 1.1849,                0.48391,                0.91838,             0.00085504,             0.00085504,             0.00085504
                    126,                 1.1217,                0.50484,                 0.8971,                0.98235,                0.98041,                0.98986,                0.66242,                  1.158,                0.47319,                0.90889,             0.00084844,             0.00084844,             0.00084844
                    127,                 1.1388,                0.51336,                0.91072,                0.97923,                0.97739,                0.98816,                0.64361,                 1.2125,                0.46782,                0.92236,             0.00084184,             0.00084184,             0.00084184
                    128,                 1.1129,                0.50639,                0.90999,                 0.9831,                0.98052,                0.98899,                 0.6495,                 1.2193,                0.47052,                0.92119,             0.00083523,             0.00083523,             0.00083523
                    129,                 1.0922,                0.48473,                0.89566,                0.98079,                0.98008,                0.98924,                 0.6521,                 1.1699,                0.47379,                0.90984,             0.00082863,             0.00082863,             0.00082863
                    130,                 1.0966,                0.51074,                0.88777,                0.97161,                0.97664,                0.98404,                 0.6473,                 1.2033,                 0.4869,                0.91673,             0.00082203,             0.00082203,             0.00082203
                    131,                 1.1179,                0.49631,                0.90232,                0.97803,                0.98391,                0.98633,                 0.6415,                 1.1889,                0.46876,                0.91437,             0.00081543,             0.00081543,             0.00081543
                    132,                 1.1113,                0.48248,                0.89867,                0.97209,                0.98631,                0.97676,                0.62753,                 1.2159,                0.46356,                0.92172,             0.00080883,             0.00080883,             0.00080883
                    133,                 1.1344,                0.49502,                0.91712,                0.97834,                0.98811,                0.98669,                0.64567,                 1.1478,                0.46609,                0.90841,             0.00080223,             0.00080223,             0.00080223
